001-A_01,0.00986979
001-A_02,0.684193
001-A_03,0.0151953
001-A_04,0.0158984
001-A_05,0.0127734
001-B_06,0.0108984
001-B_07,0.0161849
001-B_08,0.0120313
001-B_09,0.0164714
001-B_10,0.0179427
002-A_01,0.161263
002-A_02,0.15043
002-A_03,0.100794
002-A_04,0.088138
002-A_05,0.206745
002-B_06,0.074349
002-B_07,0.0813411
002-B_08,0.0798828
002-B_09,0.138906
002-B_10,0.0890104
003-A_01,0.0269922
003-A_02,0.0182031
003-A_03,0.0209245
003-A_04,0.0228255
003-A_05,0.025625
003-B_06,0.0301172
003-B_07,0.0302995
003-B_08,0.0163932
003-B_09,0.0248828
003-B_10,0.0222917
004-A_01,0.110872
004-A_02,0.103724
004-A_03,0.107279
004-A_04,0.10651
004-A_05,0.095013
004-B_06,0.105378
004-B_07,0.0949219
004-B_08,0.0927734
004-B_09,0.0840755
004-B_10,0.087474
005-A_01,0.0726563
005-A_02,0.0601693
005-A_03,0.0609505
005-A_04,0.0649089
005-A_05,0.0593099
005-B_06,0.0611849
005-B_07,0.0610156
005-B_08,0.0597786
005-B_09,0.0591927
005-B_10,0.063151
006-A_01,0.0617708
006-A_02,0.0538151
006-A_03,0.051862
006-A_04,0.0556771
006-A_05,0.0588672
006-B_06,0.0600651
006-B_07,0.0584896
006-B_08,0.0664193
006-B_09,0.0638802
006-B_10,0.066862
007-A_01,0.217891
007-A_02,0.11862
007-A_03,0.146654
007-A_04,0.137943
007-A_05,0.13306
007-B_06,0.131706
007-B_07,0.136224
007-B_08,0.139206
007-B_09,0.13888
007-B_10,0.142318
008-A_01,0.139635
008-A_02,0.132552
008-A_03,0.139323
008-A_04,0.13418
008-A_05,0.139961
008-B_06,0.149271
008-B_07,0.162891
008-B_08,0.125964
008-B_09,0.130755
008-B_10,0.127656
009-A_01,0.0360677
009-A_02,0.0410547
009-A_03,0.0327995
009-A_04,0.0425651
009-A_05,0.0498958
009-B_06,0.0473307
009-B_07,0.0430599
009-B_08,0.050651
009-B_09,0.0473958
009-B_10,0.0415365
010-A_01,0.11099
010-A_02,0.111237
010-A_03,0.113997
010-A_04,0.111029
010-A_05,0.0973438
010-B_06,0.0839323
010-B_07,0.114831
010-B_08,0.116823
010-B_09,0.116055
010-B_10,0.11431
011-A_01,0.109635
011-A_02,0.134414
011-A_03,0.114622
011-A_04,0.117526
011-A_05,0.117344
011-B_06,0.119531
011-B_07,0.115677
011-B_08,0.118177
011-B_09,0.120938
011-B_10,0.11444
012-A_01,0.0395703
012-A_02,0.0380339
012-A_03,0.0369531
012-A_04,0.0470573
012-A_05,0.0440234
012-B_06,0.0486198
012-B_07,0.0448958
012-B_08,0.0499089
